filename,width,height,class,xmin,ymin,xmax,ymax
020215_125900_92811_2.jpg,0,0,passport_uk,15,3,590,394
190px-British_passport_data_page.jpg,190,136,passport_uk,4,3,184,125
190px-GBRemergpassbiodata.jpg,190,131,passport_uk,6,3,183,126
190px-Ukfulldrivinglicence.jpg,190,240,dl_uk,4,3,184,114
1US_Passport.jpg,250,355,passport_us,3,181,248,351
2009.jpg,233,320,passport_us,7,159,220,308
2151455_5554395.jpg,684,960,passport_uk,4,450,676,917
220px-Pasaporte-eua.jpg,220,302,passport_us,5,155,214,299
232d5a8bb192c8.jpg,550,379,passport_uk,8,3,540,357
413775-passportmohammadaliasadolympicsscamvisa-1343384971-205-640x480.jpg,640,480,passport_uk,36,50,626,452
47-1.jpg,311,421,passport_us,12,214,292,401
5e4a21f7f241c4b928bc7e70df0c5b44.jpg,160,123,passport_uk,20,57,111,117
5wC2UG3.jpg,512,283,dl_uk,67,2,466,273
75b7d2e04060b9c624ee517a438e5f94--chelsea-ford.jpg,480,643,passport_us,6,328,473,634
7ee80f63-1031-43bf-929d-1d8e944321b7.jpg,160,107,dl_uk,28,21,121,89
a-2013-european-union-biometric-passport-for-the-united-kingdom-with-D2X64A.jpg,159,174,passport_uk,25,90,138,146
a0018948444_10.jpg,148,98,passport_uk,1,1,145,97
Ackley-Passport.jpg,272,373,passport_uk,11,188,257,355
authentic_birth_certificates-passport-_d.jpg,470,653,passport_us,7,329,446,621
bAP3DM.jpg,387,516,passport_uk,20,17,352,488
biometric-passport.jpg,91,125,passport_us,1,64,89,121
British-driving-li_2254541b.jpg,620,388,dl_uk,5,5,606,380
British_passport_data_page.jpg,373,267,passport_uk,7,5,362,248
cropped-hassan-british-passport-copy2.jpg,150,128,passport_uk,4,26,144,120
Director_Identity_Passport.jpg,387,284,passport_uk,10,19,372,263
download (1).jpg,191,264,passport_us,4,133,186,257
download (10).jpg,285,177,dl_uk,6,6,263,173
download (2).jpg,190,265,passport_us,6,133,180,255
download (3).jpg,210,240,passport_us,4,109,202,238
download (4).jpg,188,267,passport_us,6,135,183,258
download (5).jpg,500,706,passport_us,9,362,491,683
download (6).jpg,194,260,passport_us,10,133,190,257
download (7).jpg,189,266,passport_us,3,134,182,259
download (8).jpg,192,262,passport_us,6,130,186,255
download (9).jpg,310,162,passport_uk,8,3,303,158
download.jpg,190,266,passport_uk,8,130,184,251
drivers-licence-template-driving-fake-license-free.jpg,112,146,dl_uk,4,4,106,69
driving-licence-exchange-rules-tightened-52313-1.jpg,900,560,dl_uk,35,15,863,544
driving-licence3.jpg,718,464,dl_uk,27,28,664,439
DS2SXbnW4AEcuV-.jpg,150,97,passport_uk,9,2,146,94
DUPWIBLXUAIQoTY.jpg,104,150,passport_uk,2,77,102,145
